,image_ids,True answers,Predicted answer,True rationales,Predicted rationale
0,6040,"['commuting', 'transportation', 'transportation', 'transit', 'shuttle', 'passenger transport', 'passengers', 'transport passengers', 'transportation', 'transportation']",to transport people,"['The train at the station is a passenger train for public transporation.', 'The train brings passengers from various locations to other places.', 'You can see a lot of people inside the train going from place to place.']",The primary purpose of a train is to transport people.
1,13546,"['skate board', 'jumping', 'skating', 'skateboarding', 'skating', 'road skiing', 'scatting', 'skating', 'skating', 'skateboarding']",skateboarding,"['The game is skating.', ""This is obvious given he's in a skate park."", ""He's on a skateboard doing tricks""]",Skateboarding is a sport that involves a skateboard and a skateboard
2,28993,"['fire hydrants', 'pipes', 'fire hydrants', 'standpipe', 'hydrants', 'hydrants', 'hydrant', 'hydrants', 'dry barrel', 'tanks']",poles,"['Firefighters use these when putting out fires.', 'These items do not have coin slots or lights, and they are not really blocking anything. they could be used by first responders to put out a burning building.', 'There are dials on the top.']",The goldish/brown devices are called poles.
3,29640,"['saute', 'sautee', 'sautee', 'sautee', 'stir fry', 'stir fry', 'stir fry', 'frying', 'stir frying', 'stir fry']",simmering,"['The ingredients are in a pan with oil and being stirred around as they get fried over high heat.', 'When you place meat or veggies inside of a saute pan, it is to fry the food lightly while still cooking it.', 'There are a variety of asian noodles as well as meat. it is being cooked in a skillet of some kind on stovetop.']",Simmering is the process of cooking food at a low temperature for a long
4,29675,"['mustard', 'mustard', 'tangy', 'mustard', 'tangy', 'mustard', 'sweet', 'mustard', 'mustard', 'mustard']",beef,"['It is mustard, so it has a tangy taste and sometimes another taste.', 'The flavor is sweet.', 'The yellow stuff is sweet mustard.']",The bright yellow stuff is the beef hot dog.
5,34139,"['investments', 'investments', 'investments', 'investments', 'investments', 'investment', 'car', 'investing', 'investments', 'financial services']",financial services,"['You can do investments and such with them.', 'It is a banking business', 'The company is known for investments, and the word is also sometimes used in their company name.']",Fidelity Investments is a financial services company that specializes in the management
6,36494,"['sunlight', 'clock', 'clock', 'clock', 'clock', 'clock', 'skylight', 'window', 'clock', 'clock window']",a window,"['The face is opaque glass', 'The huge timepiece is made to let in the light from outside.', 'The clock is streaming light.']",A window is a large opening in a building that allows natural light to enter the
7,46872,"['transport', 'for transport', 'to transport', 'be transported', 'being moved', 'delivering', 'being transported', 'irrigation', 'transport', 'for construction']",It is a septic tank,"['The pipe is on te truck again to take it elsewhere.', 'Given that this pipe is on wheels and on the back of a truck it is likely being transported.', 'It is a flatbed trailer.']",The pipe on the back of the truck is a septic tank.
8,55150,"['joy', 'happy', 'happy', 'joy', 'happy', 'happy', 'joy', 'happy', 'happy', 'happy']",happy,"['The young girl with red hair is smiling and looks very happy.', 'The girl is beaming.', 'The girl is smiling.']",The young girl is smiling on top of her luggage in the parking lot.
9,58350,"['her mouth', 'mouth', 'mouth', 'her mouth', 'teeth', 'mouth', 'mouth', 'teeth', 'mouth', 'her mouth']",her mouth,"['The woman uses teeth.', 'The slice is coming out of her closed mouth.', 'The woman is holding the entire slice of pizza with just her teeth.']",A young woman with a slice of pizza in her mouth is holding the pizza with her
10,67616,"[""it's winter"", 'fall season', 'autumn', 'fall', 'winter time', 'too cold', 'winter', ""it's fall"", 'seasonal changes', 'dry']",they are in a restaurant,"['Tree loose their leaves before winter.', ""It's autumn there."", 'C might have also ripped them away near a.']",Trees without leaves are in a restaurant.
